date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:03:28	95464/95464	---MCZ	200	added ('OK')	text/html	date:Tue,%2008%20Sep%202015%2014:03:29%20GMT	http://ajoke.cz/wizard2/examples?t=simple&e=slide&r=0	C:/MIS%20SITIOS%20WEB/PLANTILLAS/wizard/ajoke.cz/wizard2/examples9223.html	(from http://ajoke.cz/wizard2/examples)
10:03:29	95464/95464	---MCZ	200	added ('OK')	text/html	date:Tue,%2008%20Sep%202015%2014:03:30%20GMT	http://ajoke.cz/wizard2/examples?t=circle&e=slide&r=0	C:/MIS%20SITIOS%20WEB/PLANTILLAS/wizard/ajoke.cz/wizard2/examplesf300.html	(from http://ajoke.cz/wizard2/examples)
10:03:29	95443/95443	---MCZ	200	added ('OK')	text/html	date:Tue,%2008%20Sep%202015%2014:03:30%20GMT	http://ajoke.cz/wizard2/examples?t=sun&e=slide&r=0	C:/MIS%20SITIOS%20WEB/PLANTILLAS/wizard/ajoke.cz/wizard2/examplesf335.html	(from http://ajoke.cz/wizard2/examples)
10:03:30	95435/95435	---MCZ	200	added ('OK')	text/html	date:Tue,%2008%20Sep%202015%2014:03:31%20GMT	http://ajoke.cz/wizard2/examples?t=sea&e=fade&r=0	C:/MIS%20SITIOS%20WEB/PLANTILLAS/wizard/ajoke.cz/wizard2/examples4b81.html	(from http://ajoke.cz/wizard2/examples)
10:03:30	95459/95459	---MCZ	200	added ('OK')	text/html	date:Tue,%2008%20Sep%202015%2014:03:31%20GMT	http://ajoke.cz/wizard2/examples?t=sea&e=3d-cube&r=0	C:/MIS%20SITIOS%20WEB/PLANTILLAS/wizard/ajoke.cz/wizard2/examplesd87c.html	(from http://ajoke.cz/wizard2/examples)
10:03:31	95435/95435	---MCZ	200	added ('OK')	text/html	date:Tue,%2008%20Sep%202015%2014:03:32%20GMT	http://ajoke.cz/wizard2/examples?t=sea&e=none&r=0	C:/MIS%20SITIOS%20WEB/PLANTILLAS/wizard/ajoke.cz/wizard2/examples49e9.html	(from http://ajoke.cz/wizard2/examples)
10:03:31	95540/95540	---MCZ	200	added ('OK')	text/html	date:Tue,%2008%20Sep%202015%2014:03:32%20GMT	http://ajoke.cz/wizard2/examples?t=sea&e=slide&r=1	C:/MIS%20SITIOS%20WEB/PLANTILLAS/wizard/ajoke.cz/wizard2/examples4d76.html	(from http://ajoke.cz/wizard2/examples)
10:03:31	95435/95435	---MCZ	200	added ('OK')	text/html	date:Tue,%2008%20Sep%202015%2014:03:32%20GMT	http://ajoke.cz/wizard2/examples?t=sky&e=fade&r=0	C:/MIS%20SITIOS%20WEB/PLANTILLAS/wizard/ajoke.cz/wizard2/examples40c9.html	(from http://ajoke.cz/wizard2/examples?t=sky&e=slide&r=0)
10:03:32	95459/95459	---MCZ	200	added ('OK')	text/html	date:Tue,%2008%20Sep%202015%2014:03:33%20GMT	http://ajoke.cz/wizard2/examples?t=sky&e=3d-cube&r=0	C:/MIS%20SITIOS%20WEB/PLANTILLAS/wizard/ajoke.cz/wizard2/examples54b0.html	(from http://ajoke.cz/wizard2/examples?t=sky&e=slide&r=0)
10:03:32	95435/95435	---MCZ	200	added ('OK')	text/html	date:Tue,%2008%20Sep%202015%2014:03:33%20GMT	http://ajoke.cz/wizard2/examples?t=sky&e=none&r=0	C:/MIS%20SITIOS%20WEB/PLANTILLAS/wizard/ajoke.cz/wizard2/examples5694.html	(from http://ajoke.cz/wizard2/examples?t=sky&e=slide&r=0)
10:03:33	95540/95540	---MCZ	200	added ('OK')	text/html	date:Tue,%2008%20Sep%202015%2014:03:34%20GMT	http://ajoke.cz/wizard2/examples?t=sky&e=slide&r=1	C:/MIS%20SITIOS%20WEB/PLANTILLAS/wizard/ajoke.cz/wizard2/examplesf96e.html	(from http://ajoke.cz/wizard2/examples?t=sky&e=slide&r=0)
10:03:33	95456/95456	---MCZ	200	added ('OK')	text/html	date:Tue,%2008%20Sep%202015%2014:03:34%20GMT	http://ajoke.cz/wizard2/examples?t=simple&e=fade&r=0	C:/MIS%20SITIOS%20WEB/PLANTILLAS/wizard/ajoke.cz/wizard2/examplesa47a.html	(from http://ajoke.cz/wizard2/examples?t=simple&e=slide&r=0)
10:03:34	95480/95480	---MCZ	200	added ('OK')	text/html	date:Tue,%2008%20Sep%202015%2014:03:35%20GMT	http://ajoke.cz/wizard2/examples?t=simple&e=3d-cube&r=0	C:/MIS%20SITIOS%20WEB/PLANTILLAS/wizard/ajoke.cz/wizard2/examples0f09.html	(from http://ajoke.cz/wizard2/examples?t=simple&e=slide&r=0)
10:03:34	95456/95456	---MCZ	200	added ('OK')	text/html	date:Tue,%2008%20Sep%202015%2014:03:35%20GMT	http://ajoke.cz/wizard2/examples?t=simple&e=none&r=0	C:/MIS%20SITIOS%20WEB/PLANTILLAS/wizard/ajoke.cz/wizard2/examples05ff.html	(from http://ajoke.cz/wizard2/examples?t=simple&e=slide&r=0)
10:03:34	95561/95561	---MCZ	200	added ('OK')	text/html	date:Tue,%2008%20Sep%202015%2014:03:35%20GMT	http://ajoke.cz/wizard2/examples?t=simple&e=slide&r=1	C:/MIS%20SITIOS%20WEB/PLANTILLAS/wizard/ajoke.cz/wizard2/examplesced3.html	(from http://ajoke.cz/wizard2/examples?t=simple&e=slide&r=0)
10:03:35	95456/95456	---MCZ	200	added ('OK')	text/html	date:Tue,%2008%20Sep%202015%2014:03:36%20GMT	http://ajoke.cz/wizard2/examples?t=circle&e=fade&r=0	C:/MIS%20SITIOS%20WEB/PLANTILLAS/wizard/ajoke.cz/wizard2/examples7412.html	(from http://ajoke.cz/wizard2/examples?t=circle&e=slide&r=0)
10:03:35	95480/95480	---MCZ	200	added ('OK')	text/html	date:Tue,%2008%20Sep%202015%2014:03:36%20GMT	http://ajoke.cz/wizard2/examples?t=circle&e=3d-cube&r=0	C:/MIS%20SITIOS%20WEB/PLANTILLAS/wizard/ajoke.cz/wizard2/examplesfa3a.html	(from http://ajoke.cz/wizard2/examples?t=circle&e=slide&r=0)
10:03:36	95456/95456	---MCZ	200	added ('OK')	text/html	date:Tue,%2008%20Sep%202015%2014:03:37%20GMT	http://ajoke.cz/wizard2/examples?t=circle&e=none&r=0	C:/MIS%20SITIOS%20WEB/PLANTILLAS/wizard/ajoke.cz/wizard2/examplesc9b1.html	(from http://ajoke.cz/wizard2/examples?t=circle&e=slide&r=0)
10:03:36	95561/95561	---MCZ	200	added ('OK')	text/html	date:Tue,%2008%20Sep%202015%2014:03:37%20GMT	http://ajoke.cz/wizard2/examples?t=circle&e=slide&r=1	C:/MIS%20SITIOS%20WEB/PLANTILLAS/wizard/ajoke.cz/wizard2/examples8c02.html	(from http://ajoke.cz/wizard2/examples?t=circle&e=slide&r=0)
10:03:37	95435/95435	---MCZ	200	added ('OK')	text/html	date:Tue,%2008%20Sep%202015%2014:03:38%20GMT	http://ajoke.cz/wizard2/examples?t=sun&e=fade&r=0	C:/MIS%20SITIOS%20WEB/PLANTILLAS/wizard/ajoke.cz/wizard2/examplesd51b.html	(from http://ajoke.cz/wizard2/examples?t=sun&e=slide&r=0)
10:03:37	95459/95459	---MCZ	200	added ('OK')	text/html	date:Tue,%2008%20Sep%202015%2014:03:38%20GMT	http://ajoke.cz/wizard2/examples?t=sun&e=3d-cube&r=0	C:/MIS%20SITIOS%20WEB/PLANTILLAS/wizard/ajoke.cz/wizard2/examples465c.html	(from http://ajoke.cz/wizard2/examples?t=sun&e=slide&r=0)
10:03:37	95435/95435	---MCZ	200	added ('OK')	text/html	date:Tue,%2008%20Sep%202015%2014:03:38%20GMT	http://ajoke.cz/wizard2/examples?t=sun&e=none&r=0	C:/MIS%20SITIOS%20WEB/PLANTILLAS/wizard/ajoke.cz/wizard2/examples4544.html	(from http://ajoke.cz/wizard2/examples?t=sun&e=slide&r=0)
10:03:38	95540/95540	---MCZ	200	added ('OK')	text/html	date:Tue,%2008%20Sep%202015%2014:03:39%20GMT	http://ajoke.cz/wizard2/examples?t=sun&e=slide&r=1	C:/MIS%20SITIOS%20WEB/PLANTILLAS/wizard/ajoke.cz/wizard2/examples9dd4.html	(from http://ajoke.cz/wizard2/examples?t=sun&e=slide&r=0)
10:03:38	95532/95532	---MCZ	200	added ('OK')	text/html	date:Tue,%2008%20Sep%202015%2014:03:39%20GMT	http://ajoke.cz/wizard2/examples?t=sea&e=fade&r=1	C:/MIS%20SITIOS%20WEB/PLANTILLAS/wizard/ajoke.cz/wizard2/examples320d.html	(from http://ajoke.cz/wizard2/examples?t=sea&e=fade&r=0)
10:03:39	95556/95556	---MCZ	200	added ('OK')	text/html	date:Tue,%2008%20Sep%202015%2014:03:40%20GMT	http://ajoke.cz/wizard2/examples?t=sea&e=3d-cube&r=1	C:/MIS%20SITIOS%20WEB/PLANTILLAS/wizard/ajoke.cz/wizard2/examples04c5.html	(from http://ajoke.cz/wizard2/examples?t=sea&e=3d-cube&r=0)
10:03:39	95532/95532	---MCZ	200	added ('OK')	text/html	date:Tue,%2008%20Sep%202015%2014:03:40%20GMT	http://ajoke.cz/wizard2/examples?t=sea&e=none&r=1	C:/MIS%20SITIOS%20WEB/PLANTILLAS/wizard/ajoke.cz/wizard2/examples5485.html	(from http://ajoke.cz/wizard2/examples?t=sea&e=none&r=0)
10:03:40	95532/95532	---MCZ	200	added ('OK')	text/html	date:Tue,%2008%20Sep%202015%2014:03:41%20GMT	http://ajoke.cz/wizard2/examples?t=sky&e=fade&r=1	C:/MIS%20SITIOS%20WEB/PLANTILLAS/wizard/ajoke.cz/wizard2/examples991c.html	(from http://ajoke.cz/wizard2/examples?t=sky&e=fade&r=0)
10:03:40	95556/95556	---MCZ	200	added ('OK')	text/html	date:Tue,%2008%20Sep%202015%2014:03:41%20GMT	http://ajoke.cz/wizard2/examples?t=sky&e=3d-cube&r=1	C:/MIS%20SITIOS%20WEB/PLANTILLAS/wizard/ajoke.cz/wizard2/examples0202.html	(from http://ajoke.cz/wizard2/examples?t=sky&e=3d-cube&r=0)
10:03:41	95532/95532	---MCZ	200	added ('OK')	text/html	date:Tue,%2008%20Sep%202015%2014:03:42%20GMT	http://ajoke.cz/wizard2/examples?t=sky&e=none&r=1	C:/MIS%20SITIOS%20WEB/PLANTILLAS/wizard/ajoke.cz/wizard2/examples9ecf.html	(from http://ajoke.cz/wizard2/examples?t=sky&e=none&r=0)
10:03:41	95553/95553	---MCZ	200	added ('OK')	text/html	date:Tue,%2008%20Sep%202015%2014:03:42%20GMT	http://ajoke.cz/wizard2/examples?t=simple&e=fade&r=1	C:/MIS%20SITIOS%20WEB/PLANTILLAS/wizard/ajoke.cz/wizard2/examples6729.html	(from http://ajoke.cz/wizard2/examples?t=simple&e=fade&r=0)
10:03:42	95577/95577	---MCZ	200	added ('OK')	text/html	date:Tue,%2008%20Sep%202015%2014:03:43%20GMT	http://ajoke.cz/wizard2/examples?t=simple&e=3d-cube&r=1	C:/MIS%20SITIOS%20WEB/PLANTILLAS/wizard/ajoke.cz/wizard2/examples1f11.html	(from http://ajoke.cz/wizard2/examples?t=simple&e=3d-cube&r=0)
10:03:42	95553/95553	---MCZ	200	added ('OK')	text/html	date:Tue,%2008%20Sep%202015%2014:03:43%20GMT	http://ajoke.cz/wizard2/examples?t=simple&e=none&r=1	C:/MIS%20SITIOS%20WEB/PLANTILLAS/wizard/ajoke.cz/wizard2/examples74de.html	(from http://ajoke.cz/wizard2/examples?t=simple&e=none&r=0)
10:03:43	95553/95553	---MCZ	200	added ('OK')	text/html	date:Tue,%2008%20Sep%202015%2014:03:44%20GMT	http://ajoke.cz/wizard2/examples?t=circle&e=fade&r=1	C:/MIS%20SITIOS%20WEB/PLANTILLAS/wizard/ajoke.cz/wizard2/examplesbe55.html	(from http://ajoke.cz/wizard2/examples?t=circle&e=fade&r=0)
10:03:43	95577/95577	---MCZ	200	added ('OK')	text/html	date:Tue,%2008%20Sep%202015%2014:03:44%20GMT	http://ajoke.cz/wizard2/examples?t=circle&e=3d-cube&r=1	C:/MIS%20SITIOS%20WEB/PLANTILLAS/wizard/ajoke.cz/wizard2/examples1850.html	(from http://ajoke.cz/wizard2/examples?t=circle&e=3d-cube&r=0)
10:03:44	95553/95553	---MCZ	200	added ('OK')	text/html	date:Tue,%2008%20Sep%202015%2014:03:45%20GMT	http://ajoke.cz/wizard2/examples?t=circle&e=none&r=1	C:/MIS%20SITIOS%20WEB/PLANTILLAS/wizard/ajoke.cz/wizard2/examples3a68.html	(from http://ajoke.cz/wizard2/examples?t=circle&e=none&r=0)
10:03:44	95532/95532	---MCZ	200	added ('OK')	text/html	date:Tue,%2008%20Sep%202015%2014:03:45%20GMT	http://ajoke.cz/wizard2/examples?t=sun&e=fade&r=1	C:/MIS%20SITIOS%20WEB/PLANTILLAS/wizard/ajoke.cz/wizard2/examples492f.html	(from http://ajoke.cz/wizard2/examples?t=sun&e=fade&r=0)
10:03:45	95556/95556	---MCZ	200	added ('OK')	text/html	date:Tue,%2008%20Sep%202015%2014:03:46%20GMT	http://ajoke.cz/wizard2/examples?t=sun&e=3d-cube&r=1	C:/MIS%20SITIOS%20WEB/PLANTILLAS/wizard/ajoke.cz/wizard2/examples31e3.html	(from http://ajoke.cz/wizard2/examples?t=sun&e=3d-cube&r=0)
10:03:46	95532/95532	---MCZ	200	added ('OK')	text/html	date:Tue,%2008%20Sep%202015%2014:03:46%20GMT	http://ajoke.cz/wizard2/examples?t=sun&e=none&r=1	C:/MIS%20SITIOS%20WEB/PLANTILLAS/wizard/ajoke.cz/wizard2/examplescd82.html	(from http://ajoke.cz/wizard2/examples?t=sun&e=none&r=0)
